 	Наименование колледжей	Контингент	в том числе кол-во			Новый набор	
			бюджетные	платные			
1	КГКП «Высший колледж геодезии, картографии и строительства», в том числе	1385	1153	232		510	
	07150500 – «Сварочное дело»	38	38				
	07310200 – «Геодезия и картография»	901	828	73		403	
	07310100 – «Архитектура»	37	37	0		26	
	07320100 – «Строительство и эксплуатация зданий и сооружений»	364	205	159 (заочно)		65	
	07320700 – «Строительство и эксплуатация автомобильных дорог и аэродромов»	45	45	0		16	
2	КГКП «Геологоразведочный колледж», в том числе	1047	873	174		275	
	05320100 – «Геологическая съемка, поиск и разведка месторождений полезных ископаемых (по видам)»	433	345	88		127	
	05320200 – «Технология и техника разведки месторождений полезных ископаемых»	225	190	35		58	
	05320300 – «Гидрогеология и инженерная геология»	116	98	18		30	
	05320400 – «Геофизические методы поиска и разведки месторождений полезных ископаемых»	117	100	17		25	
	05220200 – «Охрана и рациональное использование природных ресурсов (по отраслям)»	156	138	18		35	
3	КГКП «Высший колледж IT и новых технологий», в том числе	786	745	41		354	
	06120100 – «Вычислительная техника и информационные сети (по видам)»	165	163	2		88	
	06130100 – «Программное обеспечение (по видам)»	424	387	37		185	
	07140500 – «Цифровая техника (по видам)»	32	31	1		11	
	07140600 – «Монтаж, техническое обслуживание и ремонт медицинской техники»	54	54	0		25	
	07140900 – «Радиотехника, электроника и телекоммуникации»	52	51	1		24	"+"27 заочное отделение (из них 18 нов набор)
	07141000 – «Почтовая связь»	59	59	0		21	
4	КГКП «Колледж транспорта», в том числе	947	856	91		257	
	07130700 – «Техническое обслуживание, ремонт и эксплуатация электромеханического оборудования (по видам и отраслям)»	294	282	12		77	
	07140300 – «Мехатроника (по отраслям)»	50	50	0			
	07161300 – «Техническое обслуживание, ремонт и эксплуатация автомобильного транспорта»	229	187	42		54	
	07161500 – «Судостроение и техническое обслуживание судовых машин и механизмов»	47	45	2		15	
	07320700 – «Строительство и эксплуатация автомобильных дорог и аэродромов»	48	48	0			
	10320200 – «Защита в чрезвычайных ситуациях (по профилю)»	78	71	7		40	
	10410300 – «Организация перевозок и управление движением на автомобильном транспорте»	102	98	4		13	
	10410400 - Организация дорожного движения	25	25	0		25	
	07160600 - Эксплуатация, ремонт и техническое обслуживание вагонов и рефрижераторного подвижного состава железных дорого	9	9	0		9	
	10410500 – «Эксплуатация водного транспорта (по профилю)»	65	41	24		24	
5	КГКП «Политехнический колледж», в том числе	372	371	1		194	
